"ADream_1831" "Berenice_1835" "CardboardBox_1" "Destiny3" "HarryandLucy3" "LastDayOfPompeii2" "MinorMorals3" "MobyDick_1" "PericlesAndAspesia1" "Rookwood1" "SketchBookOfGeoffreyCrayon_3" "Spaewife2" "TheAbbot2" "TheBravo1" "TheDoctor2" "TwiceToldTales_4"
"now" 0.4149377593361 0.250156347717323 0.231320842007865 0.246762655075614 0.328803891964435 0.275935733677511 0.157619560202983 0.318198273726731 0.17824870645904 0.167418340850075 0.11717018177212 0.112651222020865 0.218865876820114 0.134728522028113 0.110632488289433 0.21002100210021
"some" 0.16597510373444 0.281425891181989 0.208188757807078 0.199221226116092 0.295252474417044 0.175797765810672 0.176841457788713 0.247699254996856 0.232713588988191 0.1776684433511 0.240673886883273 0.213057745995984 0.17183684543728 0.166165177168006 0.171833439258056 0.163652728909255
"could" 0.663900414937759 0.125078173858662 0.277585010409438 0.262609798062121 0.301962757926522 0.155770172237305 0.146086421651545 0.140998037459749 0.160918971108856 0.19816864835315 0.104503135094053 0.117549101239163 0.121190196255766 0.0673642610140567 0.183602852905868 0.128194637645583
"into" 0.24896265560166 0.125078173858662 0.173490631505899 0.0996106130580458 0.201308505284348 0.184698918509947 0.211440873443026 0.240077739458491 0.15596761815166 0.15716823834905 0.275508265247957 0.25713865896067 0.16641041873926 0.247002290384874 0.129463550125933 0.215476093063852
"than" 0.0829875518672199 0.125078173858662 0.161924589405505 0.192429593407589 0.130850528434826 0.164671324936579 0.196063355374443 0.156241068536478 0.326789295174907 0.1093344266776 0.0981696117550193 0.134691678503208 0.215248259021434 0.242511339650604 0.322481933950051 0.234568911436598
"then" 0.0829875518672199 0.250156347717323 0.381679389312977 0.228651634519605 0.248280489850696 0.304864479950154 0.126864524065816 0.308671379303775 0.121308147451291 0.1503348366817 0.0886693267464691 0.220404564823431 0.142895903047843 0.116764719091032 0.162417908339807 0.12001200120012
"has" 0.16597510373444 0.0938086303939962 0.254452926208651 0.156207552295572 0.0805234021137393 0.14686901953803 0.203752114408734 0.125755006383019 0.299556853910331 0.0615006150061501 0.23434036354424 0.242445021305775 0.173645654336619 0.193110881573629 0.157710142880682 0.141832365054687
"man" 0 0 0.208188757807078 0.0701802046545323 0.0872336856232176 0.18024834216031 0.188374596340151 0.255320770535221 0.158443294630258 0.0785841191745251 0.0950028500855026 0.1591810745947 0.126616622953785 0.229038487447793 0.190664501094555 0.248206638845703
"its" 0.663900414937759 0.34396497811132 0.0115660421003932 0.126777143892058 0.278476765643348 0.324892073523521 0.172997078271567 0.0838366709220128 0.0866486767509222 0.3690036900369 0.266007980239407 0.0391830337463878 0.0777787826716107 0.354785108007365 0.249511569333616 0.327305457818509
"up" 0.4149377593361 0.0625390869293308 0.277585010409438 0.106402245766549 0.208018788793827 0.120165561440207 0.0538213132400431 0.247699254996856 0.103978412101107 0.0785841191745251 0.326176451960225 0.102855463584268 0.128425431853125 0.0314366551398931 0.0800320128051221 0.188200638245643
"our" 0 0.0625390869293308 0.289151052509831 0.115457756044553 0.0771682603590002 0.191374783034403 0.165308319237275 0.120038869729246 0.418389324883024 0.0990843241765751 0.104503135094053 0.105304403193417 0.198968978927376 0.255984191853415 0.200080032012805 0.212748547582031
"do" 0 0 0.161924589405505 0.246762655075614 0.355645026002349 0.129066714139481 0.1422420421344 0.173389478497799 0.354021736439482 0.14350143501435 0.0475014250427513 0.16163001420385 0.159175183141901 0.139219472762384 0.143586846503307 0.0545509096364182
"time" 0 0.0938086303939962 0.219754799907472 0.15167979715657 0.174467371246435 0.106813832391295 0.0845763493772105 0.156241068536478 0.0965513826653133 0.126417930845975 0.186838938501488 0.254689719351521 0.16641041873926 0.0718552117483271 0.200080032012805 0.117284455718299
"out" 0 0.125078173858662 0.254452926208651 0.149415919587069 0.275121623888609 0.0489563398460101 0.180685837305859 0.278185317150315 0.126259500408487 0.17083504168375 0.148837798467287 0.0685703090561787 0.112146151759067 0.0359276058741636 0.0635548336981852 0.130922183127404
"such" 0.0829875518672199 0.156347717323327 0.0809622947027527 0.242234899936611 0.0905888273779567 0.111264408740932 0.130708903582962 0.156241068536478 0.188151412373431 0.208418750854175 0.120336943441637 0.19346622912279 0.235145156914172 0.112273768356761 0.244803803874491 0.21002100210021
"may" 0 0.0312695434646654 0.173490631505899 0.153943674726071 0.104009394396913 0.142418443188393 0.130708903582962 0.0876474286911952 0.262421706731364 0.11616782834495 0.101336373424536 0.146936376548954 0.213439450122095 0.211074684510711 0.254219334792741 0.139104819572866
"very" 0 0.218886804252658 0.335415220911404 0.359956533550666 0.218084214058044 0.124616137789844 0.196063355374443 0.188632509574529 0.153491941673062 0.0683340166735001 0.123503705111153 0.0808150071019249 0.0813964004702903 0.0269457044056227 0.112986371018996 0.0981916373455527
"any" 0 0.125078173858662 0.0693962526023595 0.235443267228108 0.187887938265392 0.0467310516711914 0.1422420421344 0.15814644742107 0.282227118560147 0.112751127511275 0.0823358034074356 0.222853504432581 0.139278285249163 0.116764719091032 0.221264976578867 0.0518233641545973
"should" 0 0.0625390869293308 0.208188757807078 0.199221226116092 0.130850528434826 0.0845609506431083 0.134553283100108 0.0819312920374216 0.232713588988191 0.14350143501435 0.0538349483817848 0.154283195376402 0.150131138645202 0.184128980105088 0.134171315585058 0.136377274091045
"like" 0.16597510373444 0.156347717323327 0.196622715706685 0.0905551027800417 0.154336520718 0.122390849615025 0.10379824696294 0.272469180496542 0.123783823929889 0.276752767527675 0.174171891823421 0.124895920066611 0.141087094148503 0.166165177168006 0.120048019207683 0.177290456318359
